ate,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-07-30,Cayman Islands,CYM,203,0,1,0,Sporadic cases,16
2020-07-30,Bermuda,BMU,156,0,9,0,Sporadic cases,1
2020-07-30,Sint Maarten,SXM,126,5,15,0,Community transmission,0
2020-07-30,Aruba,ABW,119,0,3,0,Sporadic cases,3
2020-07-30,Turks and Caicos Islands,TCA,104,5,2,0,Clusters of cases,0
2020-07-30,Saint Martin,MAF,53,0,3,0,Sporadic cases,1
2020-07-30,Curaçao,CUW,29,0,1,0,Sporadic cases,6
2020-07-30,Falkland Islands (Malvinas),FLK,13,0,0,0,No cases,96
2020-07-30,Montserrat,MSR,13,0,1,0,No cases,4
2020-07-30,Bonaire Sint Eustatius and Saba,BES,11,0,0,0,Sporadic cases,7
2020-07-30,British Virgin Islands,VGB,8,0,1,0,No cases,76
2020-07-30,Saint Barthelemy,BLM,8,0,0,0,No cases,1
2020-07-30,Saint Pierre and Miquelon,SPM,4,0,0,0,Sporadic cases,14
2020-07-30,Anguilla,AIA,3,0,0,0,No cases,118
2020-07-30,Iran (Islamic Republic of),IRN,301530,2621,16569,226,Community transmission,0
2020-07-30,Pakistan,PAK,278305,903,5951,27,Clusters of cases,0
2020-07-30,Saudi Arabia,SAU,274219,1629,2869,53,Clusters of cases,0
2020-07-30,Iraq,IRQ,121263,2963,4671,68,Community transmission,0
